Rank,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
285,"Greeley city, Colorado",92889,92945,93264,94393,95339,96594,98649,101607,104575,106639,107348
286,"Daly City city, California",101123,101132,101282,102485,103961,105047,105972,106610,106941,106736,107008
287,"Meridian city, Idaho",75092,76959,77402,79687,82094,85060,89151,92147,96280,100653,106804
288,"Lewisville city, Texas",95290,95458,95920,97595,99643,101065,102841,103744,104735,106077,106586
289,"Davie town, Florida",91992,91950,92320,94465,95806,97653,99257,101311,103358,105239,106558
290,"West Covina city, California",106098,106108,106128,106738,107130,107424,107552,107677,107607,107115,106311
291,"League City city, Texas",83560,83563,84077,86271,88262,90839,94205,97965,101800,104554,106244
292,"Tyler city, Texas",96900,96887,97173,98048,98986,99784,101515,102711,103954,104810,105729
293,"Norwalk city, California",105549,105549,105547,105915,106019,106192,106282,106365,106002,105620,105120
294,"San Mateo city, California",97207,97207,97399,98538,99859,101385,102773,103581,104420,104399,105025
295,"Green Bay city, Wisconsin",104057,103911,103977,104337,104657,104630,104671,104820,104719,104986,104879
296,"Wichita Falls city, Texas",104553,104682,104793,103946,104622,104955,105216,103960,104203,104493,104576
297,"Sparks city, Nevada",90264,91066,91189,91566,92372,93296,94547,95765,98105,100149,104246
298,"Burbank city, California",103340,103358,103357,103749,104125,104430,104508,104613,104266,104351,103695
299,"Rialto city, California",99171,99112,99338,100579,101315,101603,102107,102572,102992,103326,103440
300,"Allen city, Texas",84246,84275,84920,87661,89786,92138,94168,98190,99512,100912,103383
301,"El Cajon city, California",99478,99513,99754,100730,101491,102274,102777,103248,103573,103509,103241
302,"Las Cruces city, New Mexico",97618,97728,98312,100238,101092,101307,101275,101179,101357,101968,102926
303,"Renton city, Washington",90927,91903,92345,94180,96024,97183,98709,100571,101638,102107,102153
304,"Davenport city, Iowa",99685,99693,99671,100283,101151,102046,102360,102434,102395,102335,102085
305,"South Bend city, Indiana",101168,101241,101191,101138,100990,101165,101411,101585,101884,101968,101860
306,"Vista city, California",93834,93349,93566,94526,95495,96418,97225,99885,101040,101028,101224
307,"Tuscaloosa city, Alabama",90468,90373,90550,91429,92807,94378,96147,97988,98990,100118,101113
308,"San Angelo city, Texas",93200,93221,93625,94526,95844,97068,98592,99716,99809,99830,100215
309,"Kenosha city, Wisconsin",99218,99323,99440,99599,99908,99756,99785,99559,99485,99965,100164
310,"Vacaville city, California",92428,92422,92563,93227,93673,94047,95436,96301,98104,99695,100154
311,"Roanoke city, Virginia",97032,96912,96722,96776,98092,98860,99443,99733,99572,99436,99920
312,"Spokane Valley city, Washington",89755,89743,90045,90680,90658,91345,92751,94329,95794,97793,99703
313,"Boca Raton city, Florida",84392,84409,85162,86456,87649,89701,91296,93520,96456,98234,99244
314,"Beaverton city, Oregon",89803,89732,90108,91573,92574,93306,94751,95897,97720,97790,98962
315,"Edinburg city, Texas",77100,82020,82515,84834,86342,88470,90505,91994,93053,95815,98665
316,"Lee's Summit city, Missouri",91364,91366,91525,91911,92371,92969,93731,94858,96012,97123,98461
317,"Rio Rancho city, New Mexico",87521,87375,87964,89477,90431,91329,91957,93108,94500,96226,98023
318,"Yuma city, Arizona",93064,90717,91334,94263,93751,93075,93728,94287,95386,96531,97908
319,"Bend city, Oregon",76639,76651,76652,77552,78592,80879,83493,86238,90611,94525,97590
320,"Orem city, Utah",88328,88328,88722,89600,90579,91327,91375,93770,96865,97627,97521
321,"Lawrence city, Kansas",87643,87757,88068,89125,89950,91179,92719,94104,95648,96753,97286
322,"Albany city, New York",97856,97841,97744,97940,98399,98487,98370,98234,97939,97726,97279
323,"South Fulton city, Georgia",(X),85569,86123,88672,91005,91749,92495,93505,95239,96019,97277
324,"Federal Way city, Washington",89306,89300,89562,90720,91997,92723,93532,95359,97241,97377,97044
325,"Sandy city, Utah",87461,89977,90034,90877,91782,92459,93215,94421,96293,96314,96901
326,"San Marcos city, California",83781,83642,83942,85023,86863,89494,92471,93338,95116,95811,96847
327,"Compton city, California",96455,96411,96454,96948,97393,97664,97717,97746,97410,97174,96617
328,"Longmont city, Colorado",86270,86310,86424,87668,88891,90217,90635,92317,93310,94712,96577
329,"Erie city, Pennsylvania",101786,101747,101724,101506,101287,100533,99712,99024,98239,97313,96471
330,"Nampa city, Idaho",81557,81843,81961,82675,83909,86351,87876,89494,91052,93631,96252
331,"Flint city, Michigan",102434,102230,101997,101207,100185,99427,98565,97761,97026,96488,95943
332,"Brockton city, Massachusetts",93810,93767,93809,94109,94047,94365,94863,95433,95391,95659,95777
333,"Sunrise city, Florida",84439,84305,84549,86299,88591,89776,90687,91940,93681,94261,95458
334,"New Bedford city, Massachusetts",95072,95068,95056,94886,94997,95073,95132,95111,95070,94990,95315
335,"Hesperia city, California",90173,90117,90300,91198,91620,91850,92169,92765,93383,94610,95274
336,"Mission Viejo city, California",93305,93112,93237,94038,94671,96069,96716,96664,96299,95698,95202
337,"Chico city, California",86187,86807,86788,87269,87934,88392,89545,90487,91733,93326,94776
338,"Lynn city, Massachusetts",90329,90333,90543,90716,91452,92048,92599,93247,93406,94095,94654
339,"Roswell city, Georgia",88346,88332,88795,90899,93214,93669,93610,93826,94525,94636,94650
340,"Portsmouth city, Virginia",95535,95527,95445,95726,96467,96071,95826,96308,95094,94693,94632
341,"Quincy city, Massachusetts",92271,92262,92463,92541,92979,93484,93730,93807,94133,94317,94580
342,"South Gate city, California",94396,94412,94438,94606,94616,94737,94831,95723,95396,94997,94443
343,"Dearborn city, Michigan",98153,98148,97851,97167,96879,96071,95985,95475,95018,94645,94333
344,"Plantation city, Florida",84955,84880,85329,86873,87942,90077,91007,91933,92798,93838,94288
345,"Concord city, North Carolina",79066,79317,79510,80650,82073,83358,85345,87444,89729,92085,94130
346,"Livonia city, Michigan",96942,96857,96627,96134,95920,95244,95238,94830,94471,94173,93971
347,"Yakima city, Washington",91067,91276,91646,92616,92687,92765,92859,93058,93572,93675,93884
348,"Carmel city, Indiana",79191,79189,79778,81664,83615,85869,86459,87805,90762,91989,93510
349,"Fishers city, Indiana",76794,77325,77868,80533,82431,84468,86924,88708,89868,91683,93362
350,"Greenville city, North Carolina",84554,84722,85109,86277,87642,88879,89292,90557,91045,92068,93137
351,"Edmond city, Oklahoma",81405,81149,81466,82943,84936,86988,88656,90168,91469,91830,93127
352,"Lawton city, Oklahoma",96867,96867,97850,98223,98455,97018,96691,95994,94133,93975,92859
353,"Menifee city, California",77519,77496,78044,79786,81165,83210,84708,86616,88286,90334,92595
354,"Asheville city, North Carolina",83393,83433,83471,84455,85329,86367,87855,89387,91145,91798,92452
355,"Deltona city, Florida",85182,85117,85082,84958,85125,85575,86293,87745,89360,90632,91951
356,"Carson city, California",91714,91714,91607,91704,92199,92596,92767,92860,92710,92329,91909
357,"Tracy city, California",82922,83406,83606,84288,84733,84892,85715,86884,89081,90579,91812
358,"Redding city, California",89861,89861,89900,90176,90397,90775,91151,90990,91210,91605,91772
359,"Miami Beach city, Florida",87779,87739,88085,89967,90830,91424,91452,91908,92042,92061,91718
360,"Chino city, California",77983,78078,78657,79606,79982,80848,84367,85253,87576,89717,91583
361,"Santa Monica city, California",89736,89742,89763,90492,91369,92115,92180,92545,92330,91902,91411
362,"Santa Barbara city, California",88410,88380,88470,88612,89312,90127,90880,91334,91579,91574,91350
363,"Indio city, California",76036,79138,79648,81053,82292,83427,85221,87036,88340,89589,91240
364,"Suffolk city, Virginia",84585,84572,84823,84751,85258,85765,86892,88127,89322,90275,91185
365,"Westminster city, California",89701,89613,89769,90710,91243,91660,91609,91656,91602,91261,90938
366,"Bellingham city, Washington",80885,81252,81344,81896,82347,82638,83440,85063,87038,89139,90665
367,"Livermore city, California",80968,81414,81591,82583,83843,85476,87058,88246,89535,90030,90269
368,"San Leandro city, California",84950,84967,85113,85916,86989,88102,89239,90539,90666,90297,89703
369,"Fall River city, Massachusetts",88857,88857,88874,88812,88842,88993,89153,89313,89288,89274,89661
370,"Kirkland city, Washington",48787,80585,80866,82084,83432,84539,86078,87410,88062,89259,89557
371,"Mount Pleasant town, South Carolina",67843,67812,67961,69259,71626,74377,77400,81074,83950,86747,89338
372,"Nashua city, New Hampshire",86494,86478,86570,86804,86933,87335,87664,88293,88664,89081,89246
373,"Norwalk city, Connecticut",85603,85623,85971,86619,87269,87743,88047,88287,88487,88399,89047
374,"Newton city, Massachusetts",85146,85114,85399,85845,87054,87508,88295,88614,88604,88855,88904
375,"Reading city, Pennsylvania",88082,88016,88064,88212,88165,88295,88204,88083,88145,88158,88495
376,"O'Fallon city, Missouri",79329,79493,79865,81088,82056,83071,84170,85037,86438,87544,88472
377,"Champaign city, Illinois",81055,81272,81427,82345,83223,84136,84967,86166,87156,87716,88029
378,"Citrus Heights city, California",83301,83274,83364,83872,84413,85037,85793,86666,87292,87782,87910
379,"Fort Smith city, Arkansas",86209,86269,86297,87206,87630,87400,87154,87697,87615,87879,87845
380,"Conroe city, Texas",56207,65259,65599,67214,69543,70576,73692,76269,82054,84807,87654
381,"Palm Coast city, Florida",75180,75205,75504,76637,77365,78413,80039,81908,84089,86067,87607
382,"Ogden city, Utah",82825,82838,83051,83251,83820,84130,84360,85253,86704,87072,87325
383,"St. George city, Utah",72897,72759,72840,73786,75012,76284,77960,79586,81684,84509,87178
384,"Hawthorne city, California",84293,84293,84302,84939,85400,85926,86831,87790,87835,87460,86965
385,"Waukegan city, Illinois",89078,89072,89126,88954,88778,88884,88788,88371,88174,87638,86792
386,"Fayetteville city, Arkansas",73580,73573,73955,75595,76961,78651,80424,82346,83598,85601,86751
387,"Redwood City city, California",76815,76822,77018,77979,79211,81075,82793,85318,85328,86385,86200
388,"Whittier city, California",85331,85313,85323,85643,86004,86383,86563,86812,86732,86460,86064
389,"Duluth city, Minnesota",86265,86266,86190,86231,86157,86035,86089,85969,86058,85980,85884
390,"Avondale city, Arizona",76238,76132,76234,77280,78736,79778,80772,81976,83347,84807,85835
391,"Lake Forest city, California",77264,77448,77558,78308,78756,79156,79740,82051,83135,83996,85623
392,"Bloomington city, Minnesota",82893,82893,83037,83931,84868,85089,85068,85219,85495,85615,85578
393,"Bryan city, Texas",76201,76226,76519,77171,77820,78931,80674,82124,83357,84346,85445
394,"Newport Beach city, California",85186,85222,85343,86094,86565,86940,86773,86697,86647,85876,85326
395,"Hemet city, California",78657,78627,79087,80222,81039,81743,82578,83351,84175,84848,85275
396,"Clifton city, New Jersey",84136,84117,84172,84692,84709,84923,85177,85232,85141,85144,85273
397,"Hoover city, Alabama",81619,80621,80751,81291,82617,83247,83661,84242,84546,84862,85108
398,"Largo city, Florida",77648,79358,79291,79387,79646,80332,80761,81834,84046,84642,84996
399,"Bloomington city, Indiana",80405,80314,80630,81505,82169,82476,83184,83601,84396,84896,84981
400,"Mission city, Texas",77058,77690,78130,79796,81064,81711,82482,83246,83788,84185,84827
401,"Danbury city, Connecticut",80893,80907,81324,82096,82793,83606,83722,84252,84995,84680,84730
402,"Alhambra city, California",83089,83118,83163,83607,84157,84395,84865,84950,85358,85014,84649
403,"Santa Fe city, New Mexico",67947,80878,81025,81836,82325,82822,83058,83395,83811,84256,84612
403,"New Braunfels city, Texas",57740,57677,58059,59311,60875,63005,65890,70118,73343,78928,84612
405,"Johns Creek city, Georgia",76728,76640,77091,79216,81856,82467,82762,82985,83914,84232,84310
406,"Troy city, Michigan",80980,80972,81020,81643,82271,83011,83407,83500,84095,84194,84272
407,"Trenton city, New Jersey",84913,84964,85010,84853,84642,84524,84067,83566,83387,83593,83974
408,"Chino Hills city, California",74799,74799,74973,75650,76073,76333,76571,77904,78542,80207,83447
409,"Mountain View city, California",74066,73997,74227,75102,76514,77978,79185,80378,80852,81197,83377
410,"Merced city, California",78958,78957,79134,79720,80265,80758,81198,81878,82353,82677,83316
411,"Kennewick city, Washington",73917,73995,74448,75586,75941,76598,77366,78772,80153,81732,82943
412,"Goodyear city, Arizona",65275,65254,65500,66587,67823,70390,72347,74817,77413,79944,82835
413,"Melbourne city, Florida",76068,76247,76395,76560,76884,77426,78312,79386,80746,81916,82826
414,"Buena Park city, California",80530,80619,80796,81562,82077,82766,82694,82863,83113,82742,82421
415,"Sioux City city, Iowa",82684,82693,82858,83086,82686,82610,82546,82665,82670,82163,82396
416,"Pleasanton city, California",70285,70282,70386,71142,72119,74060,77504,79277,82314,82744,82372
417,"Medford city, Oregon",74907,74943,74993,75563,76104,76759,77723,78944,80111,81136,82347
418,"Fort Myers city, Florida",62298,62316,62513,63826,65519,67820,70470,73466,76736,79975,82254
419,"Lynchburg city, Virginia",75568,75533,75551,76582,77276,77950,78155,79271,80038,81065,82126
420,"Auburn city, Washington",70180,70164,70423,71645,73390,74848,76139,77409,78660,81275,81905
421,"Westland city, Michigan",84094,84153,83964,83515,83336,82664,82638,82312,82089,81891,81720
422,"Longview city, Texas",80455,80423,80571,81041,81233,81319,81351,81899,81619,81303,81647
423,"Cicero town, Illinois",83891,84241,84266,84439,84586,84633,84438,83935,83275,82448,81597
424,"Manteca city, California",67096,67286,67674,69188,70846,71740,73121,74998,76716,78952,81592
425,"Somerville city, Massachusetts",75754,75651,75828,76653,77569,78526,78939,79662,80902,81159,81562
426,"Cranston city, Rhode Island",80387,80559,80689,80807,80996,80972,81189,81248,81188,81034,81274
427,"Farmington Hills city, Michigan",79740,79722,79759,80336,80920,81492,81749,81538,81561,81429,81093
428,"Springdale city, Arkansas",69797,70808,71139,72459,73724,75136,76264,77557,78735,79845,81029
429,"Franklin city, Tennessee",62487,62569,62819,64321,66272,68845,70533,72501,74635,78180,80914
430,"Deerfield Beach city, Florida",75018,75021,75191,76513,77414,78028,78598,79353,79986,80512,80863
431,"Warwick city, Rhode Island",82672,82674,82627,82024,81683,81535,81699,81128,80977,80797,80847
432,"Brooklyn Park city, Minnesota",75781,75776,75964,76877,77907,78476,78827,79279,79899,80337,80610
433,"Milpitas city, California",66790,66820,66730,67126,68880,69975,73608,77537,77878,77906,80430
434,"Lawrence city, Massachusetts",76377,76348,76558,77263,77922,78401,79208,79732,79870,80062,80376
435,"Lakewood city, California",80048,80060,80057,80400,80682,80911,80977,81028,80997,80611,80140
436,"Tustin city, California",75540,75317,75475,76233,77600,78166,80203,80174,80357,80229,79795
437,"Pharr city, Texas",70400,70467,70806,72215,73469,74375,75636,76751,77846,79198,79707
438,"Plymouth city, Minnesota",70576,70589,70713,71696,73103,74101,75188,76058,77377,78159,79450
439,"Napa city, California",76915,77097,77197,77698,78201,78777,79449,79744,79781,79336,79263
440,"Perris city, California",68386,68565,69005,70434,71256,72343,73561,74708,76168,77692,79133
441,"Folsom city, California",72203,72196,72161,72594,73107,72857,75039,76026,77088,77882,79022
442,"Parma city, Ohio",81601,81589,81453,80954,80622,80454,80166,80048,79646,79148,78751
443,"New Rochelle city, New York",77062,77098,77220,77686,78324,79270,79355,79431,79446,79031,78742
444,"Alameda city, California",73812,73812,73950,74694,75655,76511,77550,78467,79061,78940,78338
445,"Boynton Beach city, Florida",68217,68213,68332,68822,69974,71237,73097,73950,75826,77639,78050
446,"Lake Charles city, Louisiana",71993,72264,72393,72716,73496,73708,74325,75477,76218,77302,78001
447,"Bloomington city, Illinois",76610,76701,76824,77275,77991,79245,78881,78393,78343,78145,77962
448,"Loveland city, Colorado",66859,66890,67057,69182,70226,71135,72248,74608,76103,76581,77446
449,"Racine city, Wisconsin",78860,78848,78751,78454,78191,78074,77905,77581,77455,77507,77432
450,"Flower Mound town, Texas",64669,64675,64861,65957,67723,68318,69443,70844,73334,76453,77329
451,"Layton city, Utah",67311,67500,67783,68452,68879,70962,72353,73931,75489,76484,77303
452,"Scranton city, Pennsylvania",76089,76087,76085,75927,76027,75838,75449,77160,77264,77282,77182
453,"Bellflower city, California",76616,76610,76613,76933,77219,77440,77587,77875,77681,77429,77131
454,"Gastonia city, North Carolina",71741,71722,71710,71874,72520,72820,73222,74061,75037,76417,77024
454,"Baytown city, Texas",71802,71635,71792,72540,73377,75424,76040,76435,76544,76895,77024
456,"Upland city, California",73732,73718,73886,74473,74956,75229,75599,76039,76451,76856,77000
457,"Cedar Park city, Texas",48937,55117,55778,58849,61521,64843,67223,69612,72602,75606,76999
458,"Jonesboro city, Arkansas",67263,67291,67542,68984,70427,71582,72282,73712,74696,75797,76990
459,"Kalamazoo city, Michigan",74262,74261,74330,74686,75541,75796,76104,75832,75833,75809,76545
460,"Iowa City city, Iowa",67862,67946,68036,69177,70169,71453,72838,73496,74551,75626,76290
461,"Temple city, Texas",66102,66078,66610,67111,68745,69531,70187,71772,73012,74439,76256
462,"St. Joseph city, Missouri",76780,76786,76661,77193,77327,77221,76995,76566,76562,76282,75959
463,"San Ramon city, California",72148,71423,71597,72186,72874,73595,74375,75163,75708,75761,75839
464,"Wyoming city, Michigan",72125,72117,72132,72722,73506,74306,74984,75289,75654,75997,75820
465,"Baldwin Park city, California",75390,75397,75425,75762,76213,76413,76450,76523,76337,76064,75813
466,"Warner Robins city, Georgia",66588,69066,69513,70986,71990,72727,73342,73461,74412,74809,75797
467,"Hammond city, Indiana",80830,80824,80718,80186,79650,79027,78479,77603,77104,76418,75795
468,"Bethlehem city, Pennsylvania",74982,74951,74956,75033,75015,74836,74955,74953,75255,75545,75790
469,"Rapid City city, South Dakota",67956,68461,68618,69035,70181,71167,72431,72792,73435,74476,75443
470,"Gary city, Indiana",80294,80315,80215,79699,79188,78586,78059,77206,76539,75881,75282
471,"Albany city, Georgia",77434,77431,77417,77874,77516,76393,75914,74864,73930,73205,75249
471,"Arlington Heights village, Illinois",75101,75187,75256,75534,75938,76151,76190,76045,75864,75536,75249
473,"Bolingbrook village, Illinois",73366,73365,73476,73788,73962,73927,74065,74174,74427,75072,75178
474,"Pasco city, Washington",59781,62160,62925,65546,67699,68442,69563,70371,71618,72999,74778
475,"Missouri City city, Texas",67358,66531,66898,67424,68090,69296,71054,73519,74190,74368,74705
476,"Rochester Hills city, Michigan",70995,70985,71037,71687,72453,73118,73367,73633,73852,74528,74696
477,"Rancho Cordova city, California",64776,64805,65070,65971,66733,67740,69420,70666,72183,73418,74585
478,"Union City city, California",69516,69533,69631,70604,71663,72586,73526,74348,75438,75133,74559
479,"Appleton city, Wisconsin",72623,72673,72702,72911,73121,73588,74000,74173,74433,74586,74526
480,"Missoula city, Montana",66788,66828,66935,67538,68343,68946,69683,70747,72231,73546,74428
481,"Buckeye city, Arizona",50876,50861,51355,52490,54391,56598,59097,61633,64649,68557,74370
482,"Rock Hill city, South Carolina",66154,66547,66547,67251,67781,68438,69334,70837,72088,73013,74309
483,"Georgetown city, Texas",47400,47483,48008,50298,52466,54807,58937,63463,66934,70505,74180
484,"South Jordan city, Utah",50418,50473,51307,53316,55878,59185,62501,66100,68595,71027,74149
485,"Evanston city, Illinois",74486,74483,74589,75145,75741,76013,76034,75671,75302,74667,74106
486,"Camden city, New Jersey",77344,77043,76982,77218,76883,76462,75856,75371,73974,73893,73973
487,"Flagstaff city, Arizona",65870,66023,66106,66082,67931,68110,68633,70015,71227,72121,73964
488,"Kissimmee city, Florida",59682,59600,59736,61358,63457,64956,66541,68597,69284,71205,73597
489,"Schaumburg village, Illinois",74227,74229,74292,74550,74789,74935,74940,74700,74650,74089,73509
490,"Apple Valley town, California",69135,69146,69309,70030,70405,70741,71193,71809,72332,72940,73508
491,"Turlock city, California",68549,68621,68760,69164,69650,70200,70812,71713,72511,73205,73504
492,"Southfield city, Michigan",71739,71717,71763,72244,72713,73232,73448,73404,73485,73423,73158
493,"Framingham city, Massachusetts",(X),68325,68667,69651,70064,70417,70787,70937,71469,71866,73123
494,"Bismarck city, North Dakota",61272,61301,61564,62722,64697,67035,68915,71282,72435,72960,73112
495,"Jacksonville city, North Carolina",70145,70169,77929,75017,76188,75503,74034,74104,72530,72545,72896
496,"Waukesha city, Wisconsin",70718,71222,71214,71219,71716,71779,72015,72381,72416,72547,72549
497,"New Britain city, Connecticut",73206,73202,73251,73267,73217,73055,73055,73219,72817,72613,72453
498,"Pittsburg city, California",63264,63259,63520,64547,65534,66668,68003,69273,70797,71963,72437
499,"Lafayette city, Indiana",67140,68862,68922,69908,70161,70975,71012,71153,72024,72274,72168
500,"Frederick city, Maryland",65239,65287,65454,65951,66404,66833,68288,69409,69952,71052,72146
501,"Lauderhill city, Florida",66887,66939,67086,68246,69023,69548,70133,70912,71480,71900,72094
502,"Gulfport city, Mississippi",67793,67786,67901,68851,69765,70782,71150,71314,71490,71890,71870
503,"Pawtucket city, Rhode Island",71148,71139,71253,71385,71569,71617,71691,71758,71798,71665,71847
504,"Maple Grove city, Minnesota",61567,61548,61778,63192,64505,65449,66976,68429,69711,70839,71807
505,"Redlands city, California",68747,68675,68809,69323,69658,69837,70264,70690,71108,71428,71586
506,"Woodbury city, Minnesota",61961,61965,62252,63553,64462,65519,66624,67462,68526,69575,71306
507,"Decatur city, Illinois",76122,76131,76105,75918,75451,74964,74163,73287,72550,71892,71290
508,"Weston city, Florida",65333,65419,65589,66839,67708,68349,68950,69699,70333,70890,71210
509,"Mansfield city, Texas",56368,56415,56855,58115,59493,61072,62494,64624,66217,68850,70981
510,"North Richland Hills city, Texas",63343,63338,63477,64253,65256,67250,68443,69167,69999,70543,70836
511,"St. Charles city, Missouri",65794,66140,66316,66545,66899,68065,68479,69038,69314,70307,70764
512,"Wilmington city, Delaware",70851,70835,70725,70821,71008,71167,71169,71112,70919,70671,70635
513,"Lynwood city, California",69772,69766,69601,69669,70603,71197,71259,71485,71087,70793,70504
514,"Homestead city, Florida",60512,60752,61040,62842,63787,64897,65951,66911,68835,69955,70477
515,"Canton city, Ohio",73007,73043,73065,72817,72786,72558,72281,71816,71273,70817,70458
516,"Passaic city, New Jersey",69781,69811,69864,70145,69977,70098,70267,70228,70086,70020,69948
517,"Walnut Creek city, California",64173,64165,64323,64836,65548,66840,67538,68765,69235,69607,69825
518,"Marysville city, Washington",60020,60007,60190,61236,62298,63144,64929,66582,67630,68979,69779
519,"Delray Beach city, Florida",60522,60623,60814,61506,62285,64207,65040,66243,67591,68735,69358
520,"Davis city, California",65622,65639,65586,65656,65794,66233,66576,67362,67980,68749,69289
521,"Broomfield city, Colorado",55889,55856,56221,57482,58963,60149,61769,64856,66474,68232,69267
522,"Camarillo city, California",65201,65154,65258,65521,65678,65923,66570,67263,67270,67549,69127
523,"Daytona Beach city, Florida",61005,61575,61612,61697,62178,62941,63544,64953,67085,68103,68866
523,"Eau Claire city, Wisconsin",65883,66230,66297,66837,67338,67893,67747,67765,68276,68596,68866
525,"North Port city, Florida",57357,57333,57403,57745,58448,59157,60380,62312,64455,66365,68628
526,"Greenville city, South Carolina",58409,59149,59283,59665,60030,60488,61363,63454,66964,68268,68563
527,"Muncie city, Indiana",70085,70210,70191,70399,69756,69715,69611,69134,69174,68951,68529
528,"Union City city, New Jersey",66455,66439,66433,67419,67827,68222,68301,68120,68373,68472,68520
529,"Bowling Green city, Kentucky",58067,59031,59347,59964,60904,62298,62999,64411,65663,67274,68401
530,"Gaithersburg city, Maryland",59933,59903,60189,61442,63044,65688,66540,67115,67636,68031,68289
531,"Rockville city, Maryland",61209,61255,61498,62066,63306,63852,65480,66782,66985,67895,68268
532,"Dothan city, Alabama",65496,65774,65950,66472,67081,67546,68009,68198,68211,68217,68247
533,"Bossier City city, Louisiana",61315,61769,62117,63517,65373,66135,67009,68077,68037,68377,68235
534,"Lake Elsinore city, California",51821,53312,53629,55081,56052,57730,60149,61996,63861,66120,68183
535,"Palatine village, Illinois",68557,68551,68613,68889,69184,69407,69465,69350,69010,68555,68053
536,"St. Cloud city, Minnesota",65842,65926,65940,65888,65945,66103,66554,67324,67768,67999,68043
537,"Waterloo city, Iowa",68406,68408,68403,68454,68437,68606,68584,68526,68028,67743,67798
538,"Yorba Linda city, California",64234,64169,64394,65620,66308,66845,67418,67608,68136,67999,67787
539,"South San Francisco city, California",63632,63660,63740,64492,65639,66308,66895,67297,67286,67212,67733
540,"Redmond city, Washington",54144,54511,54729,55704,56789,57657,59482,60831,62863,64943,67678
541,"Rogers city, Arkansas",55964,56021,56275,58134,59575,60576,62003,63507,65143,66482,67600
542,"Mount Vernon city, New York",67292,67303,67388,67738,67839,68135,68224,68288,68234,67915,67593
543,"Redondo Beach city, California",66748,66924,66929,67194,67459,67666,67728,67847,67905,67609,67412
544,"Rocklin city, California",56974,57131,57473,58425,58963,59622,60080,60945,62666,64738,67221
545,"Ames city, Iowa",58965,59037,59100,60432,61426,63046,64765,65662,65881,66285,67154
546,"Victoria city, Texas",62592,62624,62671,63115,64256,64992,65946,67221,67446,67112,67015
547,"Lodi city, California",62134,62134,62268,62754,63073,63166,63637,64231,64509,65629,66995
548,"Yuba City city, California",64925,65634,65633,65358,65283,65549,65773,66187,66308,66707,66992
549,"Jackson city, Tennessee",65211,66847,66815,66702,67034,67464,67072,66739,66738,66781,66903
550,"Johnson City city, Tennessee",63152,63380,63522,63917,64346,64693,65097,65472,66114,66193,66778
551,"Oshkosh city, Wisconsin",66083,66205,66188,66216,66715,66811,66672,66571,66517,66568,66729
552,"Palo Alto city, California",64403,64395,64545,65358,66116,66655,66901,66832,67406,67219,66666
553,"Kenner city, Louisiana",66702,66685,66689,66864,66837,66891,66833,66961,67159,67006,66657
554,"West Des Moines city, Iowa",56609,56706,56861,57561,58128,59708,61802,63489,64573,65562,66641
555,"Eagan city, Minnesota",64206,64150,64203,64484,64881,65411,66008,66229,66356,66641,66527
556,"Conway city, Arkansas",58908,58871,59588,61543,62733,63274,64099,64442,64862,65563,66426
557,"Portland city, Maine",66194,66193,66090,66177,66215,66388,66835,66829,66898,66723,66417
558,"Rowlett city, Texas",56199,56242,56347,57009,57786,58116,58503,60387,62340,63053,66285
559,"Laguna Niguel city, California",62979,62985,63117,63777,64153,64415,65129,65466,65234,66105,66266
560,"Alpharetta city, Georgia",57551,57383,57693,59138,61580,61946,62704,63338,65403,65699,66255
561,"North Little Rock city, Arkansas",62304,62368,62453,63488,64656,65939,66664,66402,66179,65911,66127
562,"Tamarac city, Florida",60427,60245,60390,61474,62211,62724,63198,63951,64962,65574,66054
563,"Lehi city, Utah",47407,47776,48177,49680,51391,55099,57011,59033,61675,63654,66037
564,"Lakeville city, Minnesota",55954,55999,56162,56705,57471,58705,59991,60819,62039,63748,65877
565,"Shawnee city, Kansas",62209,62207,62316,63008,63560,64241,64452,64984,65347,65532,65845
566,"Auburn city, Alabama",53380,53453,53802,54968,57183,58863,60421,61818,62882,64082,65738
567,"Sammamish city, Washington",45780,57445,57652,58757,60024,61063,62252,63338,63891,65009,65733
568,"Madera city, California",61416,61416,61511,61818,62311,62695,63196,63672,64193,65068,65706
569,"Schenectady city, New York",66135,66157,66153,66097,66090,65841,65863,65547,65086,65352,65575
570,"Jupiter town, Florida",55156,55310,55468,56211,57206,58510,60788,62828,64085,64888,65524
571,"Harlingen city, Texas",64849,64912,65077,65637,65818,65739,65610,65350,65413,65396,65436
572,"Ankeny city, Iowa",45582,45612,45845,47048,48365,50783,53299,56109,58621,62389,65284
573,"Blaine city, Minnesota",57186,57179,57408,58188,59441,60513,61408,62396,63251,64393,65212
574,"Wellington village, Florida",56508,56697,56832,57505,58597,60313,61523,62623,64226,64788,65200
575,"Bayonne city, New Jersey",63024,63015,63052,63946,64263,64754,65397,65317,65351,65347,65083
576,"Youngstown city, Ohio",66982,66952,66881,66552,66053,65473,65145,64704,64358,64590,64958
577,"San Clemente city, California",63522,63478,63586,64240,64613,64862,64979,65193,65256,65043,64857
